,Age,Attrition,DistanceFromHome,Education,EmployeeID,EmployeeCount,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
37,42,0,2,2,38,1,0,3,29560,5.0,13,0,23.0,2,20,4,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
38,18,1,1,4,39,1,0,1,23350,1.0,14,2,0.0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
39,35,0,20,2,40,1,0,1,51540,0.0,19,0,12.0,2,11,6,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
40,36,0,8,3,41,1,1,3,69620,4.0,12,2,4.0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
41,51,0,2,3,42,1,0,2,56750,5.0,13,0,13.0,2,4,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
42,41,0,29,1,43,1,0,1,23790,1.0,12,0,22.0,6,22,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
43,18,0,7,3,44,1,0,1,38120,1.0,15,0,0.0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
44,28,0,9,3,45,1,0,1,46480,0.0,23,2,9.0,2,8,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
45,31,0,8,1,46,1,0,1,29360,4.0,12,1,10.0,2,8,7,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
46,39,0,5,4,47,1,1,2,21050,0.0,20,0,19.0,3,18,3,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
47,36,0,5,4,48,1,0,1,85780,7.0,21,0,11.0,4,9,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
48,32,0,2,3,49,1,0,2,27060,1.0,21,1,13.0,4,13,4,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
49,38,0,5,2,50,1,1,3,63840,3.0,19,2,19.0,4,10,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
50,58,0,2,3,51,1,0,2,39680,2.0,13,2,12.0,3,5,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
51,31,0,20,1,52,1,1,3,99070,0.0,13,1,6.0,3,5,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
52,31,0,7,4,53,1,0,2,132250,3.0,21,1,9.0,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
53,45,0,3,1,54,1,1,1,35400,1.0,13,0,24.0,6,24,9,11,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
54,31,0,16,4,55,1,1,2,28040,0.0,19,2,3.0,0,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
55,33,0,9,3,56,1,0,4,193920,6.0,12,1,12.0,3,10,8,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
56,39,0,1,4,57,1,0,1,196650,1.0,22,1,21.0,6,21,11,10,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
57,43,0,7,4,58,1,0,4,24390,0.0,15,0,9.0,2,8,1,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
58,49,0,1,3,59,1,0,3,73140,7.0,22,0,25.0,2,7,0,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
59,52,1,7,1,60,1,1,2,47740,2.0,18,1,11.0,2,8,7,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
60,27,0,15,4,61,1,0,3,39020,1.0,22,0,4.0,2,4,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
61,32,0,1,3,62,1,0,3,26620,1.0,11,1,13.0,6,13,11,9,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
62,27,0,13,2,63,1,1,4,28560,1.0,12,2,5.0,5,5,0,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
63,31,0,24,3,64,1,0,2,10810,4.0,11,3,13.0,4,7,1,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
64,32,0,7,3,65,1,0,2,24720,7.0,13,0,10.0,2,7,0,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
65,28,1,9,4,66,1,0,1,56730,5.0,14,1,5.0,4,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
66,30,0,13,3,67,1,1,4,41970,1.0,13,0,11.0,3,10,1,9,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
67,31,0,2,1,68,1,1,1,97130,1.0,17,0,10.0,5,10,8,9,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
68,39,0,19,4,69,1,1,1,20620,1.0,13,0,21.0,4,21,13,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
69,39,1,1,1,70,1,1,1,42840,4.0,17,1,12.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
70,33,0,4,2,71,1,0,4,47880,3.0,11,1,9.0,0,7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
71,47,0,4,3,72,1,1,2,59060,4.0,23,0,21.0,4,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
72,43,0,14,3,73,1,1,5,38860,1.0,17,2,9.0,2,9,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
73,27,0,2,3,74,1,0,1,168230,0.0,17,0,6.0,3,5,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
74,54,0,1,4,75,1,0,2,29330,3.0,12,2,20.0,2,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
75,43,0,7,2,76,1,1,2,65000,8.0,23,0,10.0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
76,45,0,3,1,77,1,1,1,171740,9.0,14,1,12.0,6,10,9,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
77,40,0,2,4,78,1,0,4,50330,2.0,14,2,6.0,6,4,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
78,29,1,29,3,79,1,1,1,23070,1.0,13,1,7.0,0,7,0,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
79,29,0,8,3,80,1,0,3,25870,0.0,22,2,4.0,3,3,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
80,30,0,10,3,81,1,0,2,55070,1.0,12,2,10.0,2,10,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
81,27,0,11,2,82,1,0,1,43930,1.0,18,1,8.0,2,8,0,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
82,37,0,1,4,83,1,0,2,133480,7.0,14,0,8.0,4,6,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
83,38,0,28,4,84,1,0,1,65830,0.0,12,0,12.0,1,11,2,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
84,31,0,6,3,85,1,1,3,81030,1.0,15,1,11.0,5,11,4,10,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
85,29,0,3,4,86,1,0,3,39780,1.0,11,0,7.0,0,7,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
86,35,0,16,2,87,1,0,3,25440,0.0,13,1,17.0,3,16,0,13,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
87,23,0,20,4,88,1,0,1,53990,1.0,23,0,4.0,2,4,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
88,41,0,9,2,89,1,1,1,54870,6.0,19,2,8.0,0,5,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
89,47,0,1,3,90,1,1,2,68340,3.0,16,1,5.0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
90,42,0,3,4,91,1,0,1,10910,2.0,22,0,16.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
91,29,0,22,4,92,1,0,2,57360,1.0,22,0,4.0,1,4,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
92,42,0,7,4,93,1,0,3,22260,0.0,12,1,4.0,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
93,32,0,2,3,94,1,0,2,57470,1.0,13,0,8.0,0,8,0,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
94,48,0,13,4,95,1,0,4,98540,3.0,16,1,15.0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
95,37,0,8,5,96,1,0,2,54670,4.0,12,0,13.0,2,7,6,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
96,30,0,25,4,97,1,0,1,53800,7.0,21,1,4.0,0,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
97,26,0,28,3,98,1,1,5,51510,1.0,15,3,8.0,3,8,7,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
98,42,0,2,2,99,1,1,1,21330,3.0,13,2,14.0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
99,21,1,9,3,100,1,1,4,178750,1.0,12,0,3.0,5,3,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
100,36,0,28,3,101,1,0,2,24320,4.0,22,0,7.0,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
101,36,0,6,3,102,1,1,2,47710,4.0,13,1,16.0,2,13,1,12,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
102,57,0,21,4,103,1,0,5,191610,2.0,18,0,15.0,2,3,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
103,40,0,8,3,104,1,0,2,50870,3.0,14,1,10.0,3,7,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
104,21,0,1,5,105,1,1,2,28630,1.0,14,0,3.0,2,3,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
105,33,1,28,2,106,1,1,5,55610,1.0,21,1,1.0,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
106,37,0,5,3,107,1,0,4,21440,6.0,19,0,17.0,3,5,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
107,46,0,2,4,108,1,1,2,30650,2.0,11,0,7.0,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
108,41,1,16,1,109,1,1,1,28100,1.0,11,0,8.0,3,8,7,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
109,50,0,9,3,110,1,1,3,98880,6.0,15,0,20.0,2,4,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
110,40,1,8,3,111,1,1,1,86280,2.0,20,0,8.0,2,6,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
111,31,0,1,3,112,1,0,4,28670,0.0,24,0,3.0,5,2,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
112,21,1,10,2,113,1,0,1,53730,1.0,12,1,1.0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
113,29,0,1,3,114,1,1,2,66670,9.0,12,1,6.0,6,3,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
114,35,0,29,3,115,1,1,3,50030,9.0,15,0,10.0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
115,27,0,2,3,116,1,0,1,23670,2.0,12,1,5.0,2,5,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
116,28,0,2,2,117,1,0,3,28580,1.0,12,0,7.0,2,7,0,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
117,49,0,2,3,118,1,0,2,52040,8.0,14,1,26.0,3,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
118,51,0,1,2,119,1,0,1,41050,4.0,22,1,18.0,2,7,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
119,36,0,15,2,120,1,0,1,96790,4.0,12,0,6.0,1,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
120,34,1,7,3,121,1,0,1,56170,8.0,25,1,9.0,3,5,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
121,55,0,26,3,122,1,0,1,104480,2.0,13,0,30.0,3,5,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
122,24,0,1,3,123,1,1,5,28970,1.0,18,3,5.0,4,5,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
123,30,0,3,3,124,1,1,2,59680,1.0,13,0,1.0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
124,26,1,14,3,125,1,0,2,75100,0.0,18,3,7.0,3,6,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
125,22,0,16,5,126,1,0,1,29910,1.0,19,2,2.0,3,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
126,36,0,1,3,127,1,1,5,196360,1.0,12,1,10.0,3,10,9,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
127,30,1,3,2,128,1,0,3,11290,9.0,19,0,3.0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
128,37,0,10,1,129,1,0,1,133410,1.0,14,1,18.0,3,18,12,17,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
129,40,0,6,2,130,1,0,3,43320,7.0,14,2,8.0,3,5,1,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
130,42,0,2,3,131,1,1,4,110310,3.0,12,1,8.0,2,5,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
131,37,0,9,1,132,1,0,3,44400,2.0,11,1,18.0,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
132,43,0,10,2,133,1,1,1,46170,1.0,11,0,25.0,2,25,3,9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
133,40,0,6,2,134,1,1,1,26470,6.0,13,0,20.0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
134,54,0,9,3,135,1,1,2,63230,4.0,23,1,24.0,2,4,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
135,34,0,28,3,136,1,0,1,56770,9.0,20,1,6.0,3,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
136,31,0,10,4,137,1,0,3,21870,1.0,15,1,13.0,2,13,3,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
137,43,0,14,3,138,1,1,1,37480,7.0,14,2,10.0,3,3,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
138,43,0,27,4,139,1,0,2,39770,4.0,18,1,8.0,3,5,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
139,25,0,7,2,140,1,0,1,86330,1.0,19,1,5.0,2,5,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
140,37,0,1,3,141,1,0,3,20080,3.0,22,0,15.0,5,13,10,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
141,31,0,24,1,142,1,0,3,44400,1.0,13,1,4.0,2,4,3,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
142,39,0,26,4,143,1,1,1,30670,1.0,20,1,21.0,5,21,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
143,56,0,20,4,144,1,1,3,53210,9.0,14,0,36.0,1,7,7,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
144,30,0,5,4,145,1,1,2,54100,0.0,17,1,6.0,2,5,4,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
145,41,0,7,3,146,1,1,3,27820,1.0,14,0,10.0,2,10,0,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
146,28,0,7,3,147,1,0,3,119570,1.0,13,0,10.0,2,10,1,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
147,25,1,5,2,148,1,1,3,26600,5.0,13,0,6.0,3,2,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
148,52,0,26,2,149,1,1,2,33750,2.0,21,0,28.0,2,5,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
149,45,0,2,3,150,1,1,1,50980,3.0,14,1,8.0,4,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
150,52,0,12,3,151,1,0,2,48780,2.0,11,1,31.0,3,5,1,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
151,42,0,10,3,152,1,1,2,28370,2.0,13,1,19.0,0,5,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
152,30,0,25,3,153,1,0,1,24060,2.0,20,1,11.0,5,5,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
153,60,0,10,3,154,1,1,1,22690,5.0,18,1,33.0,4,29,11,10,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
154,46,0,19,4,155,1,1,1,41080,2.0,14,0,19.0,5,10,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
155,42,0,18,4,156,1,0,4,132060,0.0,13,2,7.0,2,6,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
156,24,1,27,2,157,1,0,1,104220,1.0,17,1,6.0,0,5,1,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
157,34,1,5,3,158,1,0,2,137440,0.0,20,1,3.0,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
158,38,0,3,3,159,1,1,2,49070,1.0,11,1,1.0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
159,40,0,26,4,160,1,1,1,34820,0.0,18,1,21.0,2,20,1,12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
160,26,0,3,2,161,1,1,4,24360,1.0,24,0,3.0,2,3,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
161,30,0,15,3,162,1,1,2,23800,4.0,18,3,9.0,2,5,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
162,29,0,8,3,163,1,1,3,194310,1.0,11,0,10.0,3,10,0,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
163,29,1,19,4,164,1,0,3,17900,5.0,16,1,6.0,4,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
164,19,1,4,3,165,1,0,1,76440,1.0,15,2,1.0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
165,30,0,2,4,166,1,1,3,51310,0.0,15,1,10.0,2,9,7,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
166,57,0,2,2,167,1,0,4,63060,3.0,12,1,32.0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
167,50,0,10,4,168,1,1,3,47870,0.0,12,0,28.0,3,27,15,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
168,30,0,10,2,169,1,0,3,188800,0.0,22,1,12.0,3,11,6,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
169,60,0,16,3,170,1,1,4,23390,4.0,20,0,22.0,4,18,13,11,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
170,47,0,1,3,171,1,0,5,135700,5.0,16,2,20.0,2,5,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
171,46,0,4,1,172,1,0,1,67120,6.0,21,1,26.0,3,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
