,Age,Attrition,DistanceFromHome,Education,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,average_m_rating,MeanWorkingTime
20,26,0,1,4,0,2,104470,1.0,18,0,6.0,3,6,1,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0,2.0,1.0,3.0,7.59066523
21,50,0,8,4,0,1,96670,3.0,23,0,28.0,2,10,1,6,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.0,2.0,2.0,3.0,7.148342708611111
22,53,0,11,4,1,2,21480,3.0,11,0,21.0,2,5,1,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,3.0,2.0,3.0,8.340203405555556
23,42,0,4,4,0,1,89260,1.0,14,0,10.0,4,20,11,6,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,3.0,3.0,2.0,7.038668145000001
24,29,0,16,4,0,1,65130,1.0,11,1,10.0,2,10,0,9,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2.0,4.0,2.0,3.0,7.471467341944444
25,55,0,1,4,1,1,67990,3.0,11,0,12.0,2,10,0,8,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,4.0,3.0,3.0,9.281525495555554
26,26,0,9,3,1,1,162910,1.0,22,0,5.0,3,5,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,1.0,3.0,3.5,10.922103987777778
27,37,0,5,1,0,1,27050,1.0,11,0,17.0,2,17,5,7,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,4.0,3.0,3.0,7.706747119444445
28,44,1,1,2,0,2,103330,3.0,14,1,19.0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,3.0,1.0,2.5,11.035889200555555
29,38,0,2,3,1,1,44480,9.0,12,0,10.0,3,2,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4.0,4.0,3.0,2.5,6.413045260277777
30,26,1,4,3,0,3,68540,2.0,11,0,5.0,5,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,2.0,3.0,2.5,10.03875312388889
31,28,0,7,3,0,1,96370,1.0,13,0,5.0,6,5,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4.0,4.0,3.0,2.5,6.815803879166666
32,49,0,1,1,1,2,35910,9.0,13,0,22.0,2,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,1.0,3.0,3.0,10.441361282777777
33,36,0,5,3,0,3,54050,4.0,14,0,10.0,2,8,7,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3.0,2.0,3.0,3.0,6.3189467925
34,31,0,9,4,0,1,46840,1.0,16,1,2.0,4,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4.0,2.0,2.0,3.0,6.557647332499999
35,26,1,8,3,0,2,157870,1.0,12,2,8.0,5,8,7,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4.0,4.0,3.0,3.0,9.72887254361111
36,37,0,9,1,0,1,15140,1.0,14,0,4.0,3,4,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.0,4.0,2.0,3.0,9.986621994444445
37,42,0,2,2,0,3,29560,5.0,13,0,23.0,2,20,4,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.0,2.0,4.0,3.0,7.011031586666667
38,18,1,1,4,0,1,23350,1.0,14,2,0.0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0,3.0,3.0,2.5,6.910256361111111
39,35,0,20,2,0,1,51540,0.0,19,0,12.0,2,11,6,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.0,2.0,2.0,2.5,7.506745710555555
40,36,0,8,3,1,3,69620,4.0,12,2,4.0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,2.728246013667426,3.0,2.5,7.356832206666667
41,51,0,2,3,0,2,56750,5.0,13,0,13.0,2,4,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4.0,2.0,3.0,2.5,7.529900959444444
42,41,0,29,1,0,1,23790,1.0,12,0,22.0,6,22,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4.0,2.0,3.0,3.0,6.949176930277778
43,18,0,7,3,0,1,38120,1.0,15,0,0.0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,3.0,3.0,3.0,6.9734582
44,28,0,9,3,0,1,46480,0.0,23,2,9.0,2,8,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2.0,1.0,3.0,3.0,7.077155964166667
45,31,0,8,1,0,1,29360,4.0,12,1,10.0,2,8,7,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,4.0,2.0,3.0,7.3217391619444445
46,39,0,5,4,1,2,21050,0.0,20,0,19.0,3,18,3,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3.0,4.0,2.0,3.5,7.647847568611112
47,36,0,5,4,0,1,85780,7.0,21,0,11.0,4,9,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2.0,2.0,3.0,3.5,7.559863443055556
48,32,0,2,3,0,2,27060,1.0,21,1,13.0,4,13,4,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4.0,3.0,2.0,3.5,7.003284015
49,38,0,5,2,1,3,63840,3.0,19,2,19.0,4,10,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,2.0,3.0,2.5,7.212882006944445
50,58,0,2,3,0,2,39680,2.0,13,2,12.0,3,5,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4.0,3.0,3.0,2.5,10.939743316666668
51,31,0,20,1,1,3,99070,0.0,13,1,6.0,3,5,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,4.0,3.0,2.5,9.324803196666668
52,31,0,7,4,0,2,132250,3.0,21,1,9.0,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0,1.0,3.0,3.5,7.030732468333333
53,45,0,3,1,1,1,35400,1.0,13,0,24.0,6,24,9,11,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,1.0,3.0,3.0,7.247865990555556
54,31,0,16,4,1,2,28040,0.0,19,2,3.0,0,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.0,4.0,1.0,3.0,8.81776792111111
55,33,0,9,3,0,4,193920,6.0,12,1,12.0,3,10,8,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,2.0,3.0,3.0,7.297786485
56,39,0,1,4,0,1,196650,1.0,22,1,21.0,6,21,11,10,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3.0,1.0,3.0,3.5,11.122527228333333
57,43,0,7,4,0,4,24390,0.0,15,0,9.0,2,8,1,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,4.0,3.0,3.0,7.703755750833332
58,49,0,1,3,0,3,73140,7.0,22,0,25.0,2,7,0,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0,3.0,3.0,3.5,9.563130184444445
59,52,1,7,1,1,2,47740,2.0,18,1,11.0,2,8,7,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,2.0,2.0,3.0,8.024721404722222
60,27,0,15,4,0,3,39020,1.0,22,0,4.0,2,4,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,2.0,2.0,3.5,10.667167943333334
61,32,0,1,3,0,3,26620,1.0,11,1,13.0,6,13,11,9,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,2.0,3.0,3.5,10.545234211944445
62,27,0,13,2,1,4,28560,1.0,12,2,5.0,5,5,0,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4.0,3.0,3.0,3.5,10.081349161388887
63,31,0,24,3,0,2,10810,4.0,11,3,13.0,4,7,1,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,3.0,3.5,6.597311285555556
64,32,0,7,3,0,2,24720,7.0,13,0,10.0,2,7,0,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,4.0,2.0,3.0,7.458100590277778
65,28,1,9,4,0,1,56730,5.0,14,1,5.0,4,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4.0,2.0,2.5,10.621017113333334
66,30,0,13,3,1,4,41970,1.0,13,0,11.0,3,10,1,9,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,4.0,3.0,3.0,6.0712148741666665
67,31,0,2,1,1,1,97130,1.0,17,0,10.0,5,10,8,9,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0,3.0,3.0,2.5,6.402330029166667
68,39,0,19,4,1,1,20620,1.0,13,0,21.0,4,21,13,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,4.0,3.0,3.0,6.270522768888889
69,39,1,1,1,1,1,42840,4.0,17,1,12.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,3.0,2.0,3.0,9.594013045277778
70,33,0,4,2,0,4,47880,3.0,11,1,9.0,0,7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2.0,4.0,2.0,3.0,7.528004517777778
71,47,0,4,3,1,2,59060,4.0,23,0,21.0,4,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4.0,3.0,3.0,4.0,6.532372675555556
72,43,0,14,3,1,5,38860,1.0,17,2,9.0,2,9,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,3.0,4.0,3.0,6.499395141111111
73,27,0,2,3,0,1,168230,0.0,17,0,6.0,3,5,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,2.0,3.0,3.0,9.331573724166669
74,54,0,1,4,0,2,29330,3.0,12,2,20.0,2,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4.0,3.0,2.0,3.0,7.093527121111111
75,43,0,7,2,1,2,65000,8.0,23,0,10.0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0,1.0,2.0,3.5,7.165662211388889
76,45,0,3,1,1,1,171740,9.0,14,1,12.0,6,10,9,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4.0,4.0,3.0,3.0,7.458937114444444
77,40,0,2,4,0,4,50330,2.0,14,2,6.0,6,4,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,4.0,2.0,3.0,10.13029167888889
78,29,1,29,3,1,1,23070,1.0,13,1,7.0,0,7,0,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,1.0,2.0,3.0,10.613828919444444
79,29,0,8,3,0,3,25870,0.0,22,2,4.0,3,3,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.0,4.0,3.0,3.5,7.117409453055555
80,30,0,10,3,0,2,55070,1.0,12,2,10.0,2,10,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,3.0,3.0,2.5,7.539564612222223
81,27,0,11,2,0,1,43930,1.0,18,1,8.0,2,8,0,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0,2.0,3.0,2.5,6.433207193888889
82,37,0,1,4,0,2,133480,7.0,14,0,8.0,4,6,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,2.0,3.0,6.430574252777777
83,38,0,28,4,0,1,65830,0.0,12,0,12.0,1,11,2,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0,4.0,3.0,3.0,9.370118170833331
84,31,0,6,3,1,3,81030,1.0,15,1,11.0,5,11,4,10,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,4.0,2.761436413540713,3.0,10.62230938777778
85,29,0,3,4,0,3,39780,1.0,11,0,7.0,0,7,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4.0,2.0,3.0,3.0,8.224893915833333
86,35,0,16,2,0,3,25440,0.0,13,1,17.0,3,16,0,13,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3.0,2.0,3.0,3.5,7.889523824166667
87,23,0,20,4,0,1,53990,1.0,23,0,4.0,2,4,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3.0,4.0,2.0,3.0,7.217297190833331
88,41,0,9,2,1,1,54870,6.0,19,2,8.0,0,5,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4.0,2.0,3.0,3.0,9.82980561361111
89,47,0,1,3,1,2,68340,3.0,16,1,5.0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2.0,3.0,3.0,3.5,7.862922990555555
90,42,0,3,4,0,1,10910,2.0,22,0,16.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4.0,3.0,2.5,5.933114751944444
91,29,0,22,4,0,2,57360,1.0,22,0,4.0,1,4,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4.0,3.0,2.0,3.0,6.165245205555556
92,42,0,7,4,0,3,22260,0.0,12,1,4.0,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.0,3.0,3.0,2.5,8.493982554444445
93,32,0,2,3,0,2,57470,1.0,13,0,8.0,0,8,0,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,2.0,3.0,3.0,7.919996140555556
94,48,0,13,4,0,4,98540,3.0,16,1,15.0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0,3.0,1.0,2.5,7.333134447777778
95,37,0,8,5,0,2,54670,4.0,12,0,13.0,2,7,6,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3.0,1.0,3.0,3.0,10.550011420555556
96,30,0,25,4,0,1,53800,7.0,21,1,4.0,0,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4.0,3.0,4.0,3.5,10.130669941944443
97,26,0,28,3,1,5,51510,1.0,15,3,8.0,3,8,7,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.0,3.0,3.0,3.0,6.3052965025
98,42,0,2,2,1,1,21330,3.0,13,2,14.0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4.0,3.0,3.0,5.993145806944445
99,21,1,9,3,1,4,178750,1.0,12,0,3.0,5,3,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,2.0,3.0,2.5,7.8912716275
100,36,0,28,3,0,2,24320,4.0,22,0,7.0,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4.0,4.0,3.0,2.5,7.352416353055555
101,36,0,6,3,1,2,47710,4.0,13,1,16.0,2,13,1,12,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4.0,3.0,3.0,7.210928431111111
102,57,0,21,4,0,5,191610,2.0,18,0,15.0,2,3,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4.0,3.0,3.0,2.0,6.472294413888889
103,40,0,8,3,0,2,50870,3.0,14,1,10.0,3,7,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4.0,3.0,3.0,3.0,8.432041164722223
104,21,0,1,5,1,2,28630,1.0,14,0,3.0,2,3,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4.0,2.0,2.0,8.041558451666667
105,33,1,28,2,1,5,55610,1.0,21,1,1.0,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.0,3.0,3.0,2.5,10.395395456666668
106,37,0,5,3,0,4,21440,6.0,19,0,17.0,3,5,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,1.0,3.0,3.5,7.770118001388888
107,46,0,2,4,1,2,30650,2.0,11,0,7.0,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.0,3.0,4.0,3.0,6.082001641388889
108,41,1,16,1,1,1,28100,1.0,11,0,8.0,3,8,7,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,2.0,3.0,3.5,7.427994665277778
109,50,0,9,3,1,3,98880,6.0,15,0,20.0,2,4,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4.0,4.0,3.0,3.0,7.508146022777778
110,40,1,8,3,1,1,86280,2.0,20,0,8.0,2,6,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,3.0,3.0,3.0,8.97022681861111
111,31,0,1,3,0,4,28670,0.0,24,0,3.0,5,2,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2.7236031927023947,2.0,3.0,3.5,9.922465246388889
112,21,1,10,2,0,1,53730,1.0,12,1,1.0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0,2.0,3.0,3.0,6.140028201944444
113,29,0,1,3,1,2,66670,9.0,12,1,6.0,6,3,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4.0,4.0,3.0,3.5,8.201626998888889
114,35,0,29,3,1,3,50030,9.0,15,0,10.0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0,2.0,3.0,3.0,7.663851242222223
115,27,0,2,3,0,1,23670,2.0,12,1,5.0,2,5,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4.0,2.0,3.0,3.0,7.029470820833334
116,28,0,2,2,0,3,28580,1.0,12,0,7.0,2,7,0,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2.0,4.0,3.0,2.5,6.971404246388889
117,49,0,2,3,0,2,52040,8.0,14,1,26.0,3,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0,3.0,3.0,3.0,7.931623866666666
118,51,0,1,2,0,1,41050,4.0,22,1,18.0,2,7,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,4.0,2.0,3.5,7.6893413538888895
119,36,0,15,2,0,1,96790,4.0,12,0,6.0,1,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4.0,3.0,3.0,3.0,6.271596523888889
120,34,1,7,3,0,1,56170,8.0,25,1,9.0,3,5,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4.0,2.0,3.5,8.827741378055556
121,55,0,26,3,0,1,104480,2.0,13,0,30.0,3,5,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3.0,4.0,3.0,3.0,8.902741669166666
122,24,0,1,3,1,5,28970,1.0,18,3,5.0,4,5,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4.0,3.0,4.0,3.0,10.117437090833333
123,30,0,3,3,1,2,59680,1.0,13,0,1.0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0,2.0,3.0,3.0,6.8307874575
124,26,1,14,3,0,2,75100,0.0,18,3,7.0,3,6,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3.0,2.728246013667426,3.0,3.0,6.896954530277777
125,22,0,16,5,0,1,29910,1.0,19,2,2.0,3,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,2.0,3.0,2.5,6.368849543055556
126,36,0,1,3,1,5,196360,1.0,12,1,10.0,3,10,9,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2.0,3.0,3.0,3.0,6.26981458
127,30,1,3,2,0,3,11290,9.0,19,0,3.0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3.0,4.0,3.0,2.5,8.137569373888889
128,37,0,10,1,0,1,133410,1.0,14,1,18.0,3,18,12,17,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4.0,1.0,2.0,3.0,6.840761999722222
129,40,0,6,2,0,3,43320,7.0,14,2,8.0,3,5,1,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,2.0,3.0,2.5,6.76215588
130,42,0,2,3,1,4,110310,3.0,12,1,8.0,2,5,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,1.0,3.0,2.5,7.432115566666667
131,37,0,9,1,0,3,44400,2.0,11,1,18.0,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3.0,2.0,2.0,2.5,9.907525991944444
132,43,0,10,2,1,1,46170,1.0,11,0,25.0,2,25,3,9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1.0,2.0,3.0,3.0,7.672792064166667
133,40,0,6,2,1,1,26470,6.0,13,0,20.0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.0,3.0,3.0,2.5,7.376561462222223
134,54,0,9,3,1,2,63230,4.0,23,1,24.0,2,4,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,1.0,2.0,3.0,6.002411399444444
135,34,0,28,3,0,1,56770,9.0,20,1,6.0,3,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3.0,3.0,3.0,3.5,6.631674529722222
